,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_short_square,has_burst,has_delay,has_pause,input_resistance_mohm,latency,peak_t_long_square,peak_t_short_square,peak_v_long_square,peak_v_short_square,ri,sag,specimen_id,tau,threshold_i_long_square,threshold_i_short_square,threshold_t_long_square,threshold_t_short_square,threshold_v_long_square,threshold_v_short_square,trough_t_long_square,trough_t_short_square,trough_v_long_square,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_short_square,vrest,species,cre_line,dendrite_type,e-type,m-type,me-type,upright_angle,soma_distance_from_pia,estimated_shrinkage_factor,estimated_slice_angle
1482,0.0146103899924061,1.05572,1.02531,-44.562503814697294,-54.125,False,False,False,204.49968,0.020059999999999998,1.05376,1.02347,30.3750019073486,32.2656269073486,194.218784570694,0.141468033194542,522152249,17.9649075208086,190.0,690.0,1.05316,1.02301,-32.6562538146973,-46.531253814697294,1.07122,1.6252,-45.656253814697294,-78.0937576293945,2.3941472646492596,3.0121027887306298,-77.8036346435547,Mus musculus,Ntsr1-Cre_GN220,spiny,Exc_1,Spiny_17,ME_Exc_4,221.362910220509,767.006848582839,2.25573833435,-6.65805510253
1486,0.17486486301254903,1.3666,1.024808,-44.03125,-52.1375030517578,False,False,False,189.824944,0.0479000000000001,1.3649200000000001,1.02338,33.1875,29.3375019073486,237.500116229057,0.0383980758488178,517647182,32.537541566616696,29.9999980926514,620.0,1.36442,1.022972,-34.28125,-41.8687507629395,1.41416,1.689944,-56.875,-73.23750152587891,2.52491708390636,2.64075725630371,-69.44366455078121,Mus musculus,Scnn1a-Tg2-Cre,spiny,Exc_3,Spiny_6,ME_Exc_18,174.294153381893,470.45309834203,3.08093485957,10.0201955819
1488,0.134138655833592,1.080915,1.02474785714286,-48.65625,-53.276788984026204,False,False,False,114.206328,0.034464999999999996,1.078785,1.02330928571429,31.7812519073486,30.6696434020996,146.718755364418,0.0478804707527161,314822529,20.809883351675,190.0,1120.0,1.07837,1.02294642857143,-39.84375,-49.5758955819266,1.10053,1.3238978571428601,-54.21875,-76.468752179827,2.98233668566304,2.93262316988365,-76.0803756713867,Mus musculus,Rorb-IRES2-Cre,spiny,Exc_2,Spiny_16,ME_Exc_5,70.8545778321252,729.838719015647,2.30041944315,-4.24161550975
1493,0.12121212848071199,1.18315,1.0251,-43.687503814697294,-50.945314407348604,False,False,False,100.03267199999999,0.0734250000000001,1.1807299999999998,1.0234174999999999,32.71875,32.2031254768372,115.781329572201,0.113775357604027,480353286,20.0452601779845,130.0,1190.0,1.180275,1.0230325,-37.34375,-49.054688453674295,1.235,1.2950700000000002,-53.937503814697294,-76.2265663146973,3.20487887251311,3.1941434863187097,-75.17481994628909,Mus musculus,Rorb-IRES2-Cre,spiny,Exc_3,Spiny_12,ME_Exc_13,187.58442343558,580.467382739228,3.16901408450999,3.25127070705999
1495,0.20886524809103602,1.13842,1.02529666666667,-50.781253814697294,-56.6250031789144,False,False,False,193.19430400000002,0.0271600000000001,1.1364,1.02341333333333,42.03125,42.3385429382324,164.999917149544,0.11392474919557599,501841672,13.811550685050099,119.99999237060499,393.333333333333,1.13582,1.02295,-36.46875,-46.744795481363894,1.1528399999999999,1.29182333333333,-50.96875,-75.1666692097982,2.56047510332767,3.09014490511047,-74.4710311889648,Mus musculus,Ctgf-T2A-dgCre,spiny,Exc_3,Spiny_17,ME_Exc_2,129.3044899968,823.31064247435,1.98412698412999,14.5080092148
1497,0.7176193709000409,1.59004,1.02449,-60.281253814697294,-63.8750047683716,False,False,False,140.868736,0.0682200000000002,1.5888,1.023495,13.65625,26.6640639305115,83.1696391105652,0.018047571182251,574992320,6.6646482782814696,240.0,700.0,1.5883399999999999,1.023105,-34.46875,-48.6015653610229,1.59016,1.65727,-60.375,-78.28125572204591,1.31725903977325,1.4890026589733,-77.00286865234379,Mus musculus,Pvalb-IRES-Cre,aspiny,Inh_13,Aspiny_7,ME_Inh_16,229.334864618923,242.645063855431,2.45262390670999,3.92892049631
1500,0.200632929244955,1.212375,1.0247190000000002,-46.40625,-51.0500022888184,False,False,False,98.831296,0.0490900000000001,1.210835,1.02334,47.593753814697294,44.506252288818395,119.553573429585,0.168598279356956,486132712,18.696578848963302,90.0,810.0000610351559,1.21046,1.023004,-39.625,-43.2375015258789,1.28316,1.106155,-53.218753814697294,-69.27500152587889,3.37492997339038,3.0168878113885294,-68.14337158203121,Mus musculus,Rbp4-Cre_KL100,spiny,Exc_4,Spiny_12,ME_Exc_1,206.033695131227,473.514288356994,2.33718657493,11.1680320191
1504,0.151875007803099,1.1546049999999999,1.02557166666667,-47.281253814697294,-52.4947942097982,False,False,False,295.526688,0.0537050000000001,1.15115,1.02345,35.2812538146973,40.0104192097982,171.25004529953,0.0251490939408541,486239338,20.4431337157992,110.0,889.9999389648441,1.150655,1.0230375,-38.5000038146973,-47.067710240682004,1.186065,1.5712066666666697,-53.59375,-79.3854192097982,4.1923051697944995,3.78850096676974,-78.4160385131836,Mus musculus,Cux2-CreERT2,spiny,Exc_3,Spiny_3,ME_Exc_17,152.232288072499,400.767864045346,2.95560678606999,15.2630720908
1505,0.36936416202751504,1.50124,1.026992,-54.968753814697294,-58.0125030517578,False,False,False,442.34774400000003,0.0503800000000001,1.49684,1.02346,21.8125,25.4125019073486,487.968772649765,0.21631774306297302,501850666,36.6362010455352,10.0,186.0,1.49614,1.022916,-43.3125,-41.456250762939504,1.5564200000000001,1.117856,-63.468753814697294,-69.2125045776367,3.3262789885226898,3.1189494236214705,-67.8327102661133,Mus musculus,Ctgf-T2A-dgCre,spiny,Exc_3,Spiny_15,ME_Exc_11,150.246585967387,979.41640556107,4.62336118358,56.3246085434
1506,0.768041390565198,1.11598,1.02406,-56.937503814697294,-61.322920481363894,False,False,False,164.139152,0.0372600000000001,1.11532,1.02344,23.0000019073486,28.791667302449497,63.749998807907104,0.0550864338874817,567927838,4.934319278620429,350.0,740.0,1.1150200000000001,1.02316,-31.8437519073486,-42.90625,1.11602,1.19046,-57.03125,-77.8020884195964,1.26299162376173,1.3760051603593302,-77.3142623901367,Mus musculus,Pvalb-IRES-Cre,aspiny,Inh_13,Aspiny_7,ME_Inh_16,162.249105641031,224.607856983321,2.83268923376,17.3460652927
